time,gFx,gFy,gFz,TgF
13:44:10:6470,0.2013,0.5211,0.9144,1.072
13:44:10:6490,0.1825,0.5008,0.9242,1.067
13:44:10:6510,0.1676,0.4822,0.9352,1.065
13:44:10:6530,0.1585,0.4703,0.9488,1.071
13:44:10:6560,0.1524,0.4598,0.9596,1.075
13:44:10:6580,0.1490,0.4493,0.9667,1.076
13:44:10:6620,0.1498,0.4427,0.9694,1.076
13:44:10:6650,0.1554,0.4378,0.9645,1.071
13:44:10:6660,0.1634,0.4326,0.9584,1.064
13:44:10:6680,0.1705,0.4283,0.9503,1.056
13:44:10:6710,0.1788,0.4265,0.9444,1.052
13:44:10:6730,0.1864,0.4280,0.9466,1.055
13:44:10:6750,0.1874,0.4307,0.9545,1.064
13:44:10:6780,0.1808,0.4336,0.9667,1.075
13:44:10:6840,0.1678,0.4383,0.9808,1.087
13:44:10:6850,0.1476,0.4424,0.9916,1.096
13:44:10:6870,0.1243,0.4478,0.9940,1.097
13:44:10:6870,0.1048,0.4556,0.9901,1.095
13:44:10:6909,0.0889,0.4627,0.9818,1.089
13:44:10:6939,0.0799,0.4700,0.9669,1.078
13:44:10:6949,0.0789,0.4788,0.9488,1.066
13:44:10:7000,0.0806,0.4898,0.9339,1.058
13:44:10:7010,0.0787,0.5001,0.9269,1.056
13:44:10:7020,0.0730,0.5081,0.9261,1.059
13:44:10:7040,0.0655,0.5157,0.9278,1.064
13:44:10:7070,0.0547,0.5262,0.9283,1.068
13:44:10:7090,0.0413,0.5343,0.9261,1.070
13:44:10:7130,0.0291,0.5375,0.9203,1.066
13:44:10:7140,0.0203,0.5394,0.9066,1.055
13:44:10:7160,0.0142,0.5426,0.8870,1.040
13:44:10:7190,0.0120,0.5480,0.8655,1.024
13:44:10:7210,0.0166,0.5526,0.8450,1.010
13:44:10:7240,0.0252,0.5555,0.8304,0.999
13:44:10:7270,0.0335,0.5553,0.8203,0.991
13:44:10:7300,0.0408,0.5509,0.8157,0.985
13:44:10:7320,0.0464,0.5450,0.8152,0.982
13:44:10:7330,0.0484,0.5377,0.8162,0.979
13:44:10:7360,0.0484,0.5340,0.8172,0.977
13:44:10:7380,0.0459,0.5328,0.8233,0.982
13:44:10:7420,0.0413,0.5335,0.8333,0.990
13:44:10:7430,0.0357,0.5480,0.8433,1.006
